threshold,f1,precision,recall
0.05,0.7326246933769419,0.5780645161290323,1.0
0.055,0.7417218543046358,0.5894736842105263,1.0
0.06,0.7466666666666667,0.5957446808510638,1.0
0.065,0.7510477787091366,0.6013422818791946,1.0
0.07,0.7606112054329371,0.6136986301369863,1.0
0.075,0.7658119658119659,0.6204986149584487,1.0
0.08,0.7724137931034483,0.6292134831460674,1.0
0.08499999999999999,0.7746967071057193,0.6331444759206799,0.9977678571428571
0.09,0.7797202797202797,0.6408045977011494,0.9955357142857143
0.095,0.7838312829525483,0.6463768115942029,0.9955357142857143
0.09999999999999999,0.7897071872227152,0.6553755522827688,0.9933035714285714
0.105,0.791814946619217,0.658284023668639,0.9933035714285714
0.10999999999999999,0.7953529937444147,0.6631892697466468,0.9933035714285714
0.11499999999999999,0.8010801080108011,0.6711915535444947,0.9933035714285714
0.12,0.8025247971145176,0.6732223903177005,0.9933035714285714
0.12499999999999999,0.8061594202898551,0.6783536585365854,0.9933035714285714
0.13,0.8105646630236795,0.6846153846153846,0.9933035714285714
0.135,0.8154269972451791,0.6926677067082684,0.9910714285714286
0.13999999999999999,0.8165898617511521,0.695447409733124,0.9888392857142857
0.145,0.8230912476722533,0.7060702875399361,0.9866071428571429
0.14999999999999997,0.8300469483568075,0.7163695299837926,0.9866071428571429
0.15499999999999997,0.8331762488218661,0.7210440456769984,0.9866071428571429
0.15999999999999998,0.8384030418250951,0.7301324503311258,0.984375
0.16499999999999998,0.8404966571155683,0.7345575959933222,0.9821428571428571
0.16999999999999998,0.8426103646833013,0.7390572390572391,0.9799107142857143
0.175,0.8444444444444444,0.7444633730834753,0.9754464285714286
0.18,0.8457807953443259,0.7478559176672385,0.9732142857142857
0.185,0.8466019417475729,0.7491408934707904,0.9732142857142857
0.19,0.8482490272373541,0.7517241379310344,0.9732142857142857
0.195,0.8490749756572541,0.7530224525043178,0.9732142857142857
0.19999999999999996,0.8490196078431372,0.756993006993007,0.9665178571428571
0.20499999999999996,0.8512315270935961,0.7619047619047619,0.9642857142857143
0.20999999999999996,0.8517786561264822,0.7641843971631206,0.9620535714285714
0.21499999999999997,0.8523290386521308,0.7664884135472371,0.9598214285714286
0.21999999999999997,0.8517412935323383,0.7684021543985637,0.9553571428571429
0.22499999999999998,0.8522954091816367,0.7707581227436823,0.953125
0.22999999999999998,0.8517034068136272,0.7727272727272727,0.9486607142857143
0.235,0.8522613065326633,0.7751371115173674,0.9464285714285714
0.24,0.8531187122736419,0.7765567765567766,0.9464285714285714
0.245,0.851664984863774,0.7771639042357275,0.9419642857142857
0.24999999999999994,0.8525252525252526,0.7785977859778598,0.9419642857142857
0.25499999999999995,0.8559837728194726,0.7843866171003717,0.9419642857142857
0.25999999999999995,0.8577235772357723,0.7873134328358209,0.9419642857142857
0.26499999999999996,0.8591836734693877,0.7913533834586466,0.9397321428571429
0.26999999999999996,0.857727737973388,0.7920604914933838,0.9352678571428571
0.27499999999999997,0.8600823045267489,0.7977099236641222,0.9330357142857143
0.27999999999999997,0.8618556701030928,0.8007662835249042,0.9330357142857143
0.285,0.8615702479338843,0.801923076923077,0.9308035714285714
0.29,0.8609958506224067,0.8042635658914729,0.9263392857142857
0.295,0.8645833333333334,0.810546875,0.9263392857142857
0.3,0.8682008368200836,0.8169291338582677,0.9263392857142857
0.30499999999999994,0.8676470588235294,0.8194444444444444,0.921875
0.30999999999999994,0.8673684210526316,0.8207171314741036,0.9196428571428571
0.31499999999999995,0.869198312236287,0.824,0.9196428571428571
0.31999999999999995,0.8677248677248677,0.8249496981891348,0.9151785714285714
0.32499999999999996,0.8677248677248677,0.8249496981891348,0.9151785714285714
0.32999999999999996,0.8695652173913043,0.8282828282828283,0.9151785714285714
0.33499999999999996,0.8695652173913043,0.8282828282828283,0.9151785714285714
0.33999999999999997,0.869287991498406,0.8296146044624746,0.9129464285714286
0.3449999999999999,0.8680851063829788,0.8292682926829268,0.9107142857142857
0.3499999999999999,0.8690095846645367,0.8309572301425662,0.9107142857142857
0.3549999999999999,0.8690095846645367,0.8309572301425662,0.9107142857142857
0.35999999999999993,0.8696581196581197,0.8340163934426229,0.9084821428571429
0.36499999999999994,0.8696581196581197,0.8340163934426229,0.9084821428571429
0.36999999999999994,0.8705882352941177,0.8357289527720739,0.9084821428571429
0.37499999999999994,0.8733905579399142,0.8409090909090909,0.9084821428571429
0.37999999999999995,0.874328678839957,0.8426501035196687,0.9084821428571429
0.38499999999999995,0.8759439050701187,0.8475991649269311,0.90625
0.38999999999999996,0.8775731310942578,0.8526315789473684,0.9040178571428571
0.39499999999999996,0.8792165397170838,0.8577494692144374,0.9017857142857143
0.3999999999999999,0.8779956427015251,0.8574468085106383,0.8995535714285714
0.4049999999999999,0.87527352297593,0.8583690987124464,0.8928571428571429
0.4099999999999999,0.87527352297593,0.8583690987124464,0.8928571428571429
0.4149999999999999,0.8778877887788779,0.8655097613882863,0.890625
0.41999999999999993,0.8729281767955801,0.8643326039387309,0.8816964285714286
0.42499999999999993,0.8729281767955801,0.8643326039387309,0.8816964285714286
0.42999999999999994,0.8736141906873615,0.8678414096916299,0.8794642857142857
0.43499999999999994,0.8755555555555555,0.8716814159292036,0.8794642857142857
0.43999999999999995,0.8730512249443207,0.8711111111111111,0.875
0.44499999999999995,0.8737430167597765,0.8747203579418344,0.8727678571428571
0.4499999999999999,0.8756998880179171,0.8786516853932584,0.8727678571428571
0.4549999999999999,0.8756998880179171,0.8786516853932584,0.8727678571428571
0.4599999999999999,0.8754208754208754,0.8803611738148984,0.8705357142857143
0.4649999999999999,0.874859075535513,0.8838268792710706,0.8660714285714286
0.4699999999999999,0.8758465011286681,0.8858447488584474,0.8660714285714286
0.4749999999999999,0.8768361581920904,0.8878718535469108,0.8660714285714286
0.4799999999999999,0.8752834467120182,0.8894009216589862,0.8616071428571429
