threshold,f1,precision,recall
0.05,0.7613344739093242,0.6171983356449375,0.9933035714285714
0.055,0.7665805340223945,0.6241234221598878,0.9933035714285714
0.06,0.768566493955095,0.6267605633802817,0.9933035714285714
0.065,0.7735191637630662,0.6342857142857142,0.9910714285714286
0.07,0.774869109947644,0.6361031518624641,0.9910714285714286
0.075,0.7771929824561403,0.6401734104046243,0.9888392857142857
0.08,0.7795414462081128,0.6443148688046647,0.9866071428571429
0.08499999999999999,0.783303730017762,0.6504424778761062,0.984375
0.09,0.7871198568872988,0.6567164179104478,0.9821428571428571
0.095,0.7913669064748201,0.6626506024096386,0.9821428571428571
0.09999999999999999,0.7935076645626691,0.6656580937972768,0.9821428571428571
0.105,0.7963800904977375,0.669710806697108,0.9821428571428571
0.10999999999999999,0.7989080982711556,0.674347158218126,0.9799107142857143
0.11499999999999999,0.8040293040293041,0.6816770186335404,0.9799107142857143
0.12,0.8051470588235294,0.684375,0.9776785714285714
0.12499999999999999,0.8047882136279927,0.6849529780564263,0.9754464285714286
0.13,0.8040665434380776,0.6861198738170347,0.9709821428571429
0.135,0.8055813953488372,0.6905901116427432,0.9665178571428571
0.13999999999999999,0.8063314711359404,0.6916932907348243,0.9665178571428571
0.145,0.8085901027077498,0.695024077046549,0.9665178571428571
0.14999999999999997,0.8093457943925234,0.6961414790996785,0.9665178571428571
0.15499999999999997,0.8116213683223993,0.6995153473344103,0.9665178571428571
0.15999999999999998,0.8150943396226416,0.7058823529411765,0.9642857142857143
0.16499999999999998,0.8143939393939394,0.7072368421052632,0.9598214285714286
0.16999999999999998,0.8140417457305503,0.7079207920792079,0.9575892857142857
0.175,0.8171428571428572,0.7126245847176079,0.9575892857142857
0.18,0.8183556405353728,0.7157190635451505,0.9553571428571429
0.185,0.8184438040345822,0.718381112984823,0.9508928571428571
0.19,0.8208092485549133,0.7220338983050848,0.9508928571428571
0.195,0.8209099709583737,0.7247863247863248,0.9464285714285714
0.19999999999999996,0.8217054263565892,0.726027397260274,0.9464285714285714
0.20499999999999996,0.8217054263565892,0.726027397260274,0.9464285714285714
0.20999999999999996,0.8241010689990281,0.729776247848537,0.9464285714285714
0.21499999999999997,0.8226120857699805,0.7301038062283737,0.9419642857142857
0.21999999999999997,0.8234146341463414,0.7313691507798961,0.9419642857142857
0.22499999999999998,0.8211143695014663,0.7304347826086957,0.9375
0.22999999999999998,0.8235294117647058,0.7342657342657343,0.9375
0.235,0.823992133726647,0.7363796133567663,0.9352678571428571
0.24,0.8248031496062992,0.7376760563380281,0.9352678571428571
0.245,0.8280632411067194,0.7429078014184397,0.9352678571428571
0.24999999999999994,0.8297029702970297,0.7455516014234875,0.9352678571428571
0.25499999999999995,0.8305252725470763,0.7468805704099821,0.9352678571428571
0.25999999999999995,0.8346613545816733,0.7535971223021583,0.9352678571428571
0.26499999999999996,0.8368368368368369,0.7586206896551724,0.9330357142857143
0.26999999999999996,0.8356713426853707,0.7581818181818182,0.9308035714285714
0.27499999999999997,0.8356713426853707,0.7581818181818182,0.9308035714285714
0.27999999999999997,0.8373493975903614,0.7609489051094891,0.9308035714285714
0.285,0.837865055387714,0.763302752293578,0.9285714285714286
0.29,0.8387096774193549,0.7647058823529411,0.9285714285714286
0.295,0.8380566801619433,0.7666666666666667,0.9241071428571429
0.3,0.8373983739837398,0.7686567164179104,0.9196428571428571
0.30499999999999994,0.8391038696537678,0.7715355805243446,0.9196428571428571
0.30999999999999994,0.8401639344262295,0.7765151515151515,0.9151785714285714
0.31499999999999995,0.8427543679342241,0.780952380952381,0.9151785714285714
0.31999999999999995,0.8436213991769548,0.7824427480916031,0.9151785714285714
0.32499999999999996,0.8429752066115702,0.7846153846153846,0.9107142857142857
0.32999999999999996,0.84472049689441,0.7876447876447876,0.9107142857142857
0.33499999999999996,0.8464730290456431,0.7906976744186046,0.9107142857142857
0.33999999999999997,0.8479166666666667,0.794921875,0.9084821428571429
0.3449999999999999,0.848800834202294,0.7964774951076321,0.9084821428571429
0.3499999999999999,0.8493723849372385,0.7992125984251969,0.90625
0.3549999999999999,0.8499475341028332,0.801980198019802,0.9040178571428571
0.35999999999999993,0.8508403361344538,0.8035714285714286,0.9040178571428571
0.36499999999999994,0.8517350157728707,0.805168986083499,0.9040178571428571
0.36999999999999994,0.8517350157728707,0.805168986083499,0.9040178571428571
0.37499999999999994,0.8544303797468354,0.81,0.9040178571428571
0.37999999999999995,0.854122621564482,0.8112449799196787,0.9017857142857143
0.38499999999999995,0.855026455026455,0.8128772635814889,0.9017857142857143
0.38999999999999996,0.8559322033898306,0.8145161290322581,0.9017857142857143
0.39499999999999996,0.8568398727465536,0.8161616161616162,0.9017857142857143
0.3999999999999999,0.8568398727465536,0.8161616161616162,0.9017857142857143
0.4049999999999999,0.8565356004250797,0.8174442190669371,0.8995535714285714
0.4099999999999999,0.8580576307363927,0.8220858895705522,0.8973214285714286
0.4149999999999999,0.8553054662379421,0.822680412371134,0.890625
0.41999999999999993,0.8562231759656652,0.8243801652892562,0.890625
0.42499999999999993,0.8605405405405405,0.8343815513626834,0.8883928571428571
0.42999999999999994,0.8608695652173913,0.8389830508474576,0.8839285714285714
0.43499999999999994,0.8583877995642701,0.8382978723404255,0.8794642857142857
0.43999999999999995,0.8577680525164114,0.8412017167381974,0.875
0.44499999999999995,0.8565169769989047,0.8408602150537634,0.8727678571428571
0.4499999999999999,0.8549450549450549,0.841991341991342,0.8683035714285714
0.4549999999999999,0.8568281938325991,0.8456521739130435,0.8683035714285714
